Fund Name,Nombre Uso Interno
"iCapital - Apollo Aligned Alternatives (International) Access Fund, L.P.","iCapital - Apollo Aligned Alternatives (International) Access Fund, L.P."
Blue Owl Credit Income Corp. iCapital Offshore Access Fund SP 1,Blue Owl Credit Income Corp. iCapital Offshore Access Fund SP 1
"BlackRock Private Credit Fund iCapital Offshore Access Fund, L.P.","BlackRock Private Credit Fund iCapital Offshore Access Fund, L.P."
"iCapital Infrastructure Investments Access Fund, Ltd.","iCapital Infrastructure Investments Access Fund, Ltd"
Blue Owl Credit Income Corp.,Blue Owl Credit Income Corp. iCapital Offshore Access Fund SP 1
"GoldenTree Select Offshore Fund, Ltd.","GoldenTree Select Offshore Fund, Ltd."
"GoldenTree Select Partners, L.P.","GoldenTree Select Partners, L.P."
Hamilton Lane Private Assets Fund,Hamilton Lane Private Assets Fund
"iCapital Multi-Strategy Fund, L.P.","iCapital Multi-Strategy Fund, Ltd."
"iCapital Multi-Strategy Fund, Ltd.","iCapital Multi-Strategy Fund, Ltd."
"WMA Systematic Equity Alpha Long/Short Offshore Fund (iCapital), Ltd.","WMA Systematic Equity Alpha Long/Short Offshore Fund (iCapital), Ltd."
Apollo Debt Solutions BDC iCapital Offshore Access Fund SP 2,Apollo Debt Solutions BDC iCapital Offshore Access Fund SP 2
KKR K-INFRA iCapital Offshore Access Fund SP 1,KKR K-INFRA iCapital Offshore Access Fund SP 1
"iCapital-Carlyle Tactical Private Credit Access Fund (International), Ltd.","iCapital-Carlyle Tactical Private Credit Access Fund (International), Ltd."
ACRE Credit II Offshore LP,ACRE Credit II Offshore LP
"iCapital-CD&R XII (International) Access Fund, L.P.","iCapital-CD&R XII (International) Access Fund, L.P."
Blue Owl Real Estate Net Lease Trust iCapital Offshore Access Fund SP 1,Blue Owl Real Estate Net Lease Trust iCapital Offshore Access Fund SP 1
iCapital Barings Private Credit Corporation Fund SP 1,iCapital Barings Private Credit Corporation Fund SP 1
"iDirect Private Markets Access Fund (International), Ltd.","iDirect Private Markets Access Fund (International), Ltd."
"iCapital-Clearlake Capital Partners VII (Offshore) Access Fund, L.P.","iCapital-Clearlake Capital Partners VII (Offshore) Access Fund, L.P."
"iCapital-Clearlake Capital Partners VII Access Fund, L.P.","iCapital-Clearlake Capital Partners VII Access Fund, L.P."
"iCapital-Lexington Capital Partners X Offshore Access Fund, L.P.","iCapital-Lexington Capital Partners X Offshore Access Fund, L.P."
"iCapital-Monarch Capital Partners VI International Access Fund, L.P. ","iCapital-Monarch Capital Partners VI International Access Fund, L.P."
"Oaktree Opportunities XII iCapital Offshore Access Fund, L.P. ","Oaktree Opportunities XII iCapital Offshore Access Fund, L.P."
Blue Owl Technology Income Corp. iCapital Offshore Access Fund SP 2,Blue Owl Technology Income Corp. iCapital Offshore Access Fund SP 2
"Blackstone Real Estate Income Trust, Inc.","Blackstone Real Estate Income Trust, Inc."
Carlyle Tactical Private Credit Fund,iCapital Carlyle Credit Solutions Access Fund (International) SP 1
"iCapital - Apollo Aligned Alternatives Access Fund, L.P.","iCapital - Apollo Aligned Alternatives (International) Access Fund, L.P."
iDirect Private Markets Fund,"iDirect Private Markets Access Fund (International), Ltd."
"iCapital-General Atlantic Investment Partners 2021 Offshore Access Fund, L.P.","iCapital-General Atlantic Investment Partners 2021 Offshore Access Fund, L.P."
Golub Capital Private Credit iCapital Offshore Access Fund SP 1,Golub Capital Private Credit iCapital Offshore Access Fund SP 1
Barings Private Credit Corporation,iCapital Barings Private Credit Corporation Fund SP 1
KKR K-PEC iCapital Offshore Access Fund SP 1,KKR K-PEC iCapital Offshore Access Fund SP 1
Belhurst Capital Fund LLC,Belhurst Capital Fund LLC
"iCapital-Clearlake Capital Partners VIII Access Fund, L.P. ","iCapital-Clearlake Capital Partners VIII Access Fund, L.P. "
"Millennium USA HedgeFocus Fund, L.P.","Millennium USA HedgeFocus Fund, L.P."
"iCapital-Lexington Capital Partners X Access Fund, L.P. ","iCapital-Lexington Capital Partners X Access Fund, L.P. "
"KKR Infrastructure Conglomerate LLC (""K-INFRA"")",KKR K-INFRA iCapital Offshore Access Fund SP 1
"iCapital-Clearlake Capital Partners VIII (Offshore) Access Fund, L.P.","iCapital-Clearlake Capital Partners VIII (Offshore) Access Fund, L.P."
"Nuveen Global Cities REIT, Inc.",Nuveen Global Cities REIT iCapital Offshore Access Fund SP 1
Blackstone Private Credit Fund ,"BlackRock Private Credit Fund iCapital Offshore Access Fund, L.P."
Ares Private Markets Fund iCapital Offshore Access Fund SP 1,Ares Strategic Income Fund iCapital Offshore Access Fund SP 1
Hines Global Income Trust iCapital Offshore Access Fund SP 1,Hines Global Income Trust iCapital Offshore Access Fund SP 1
Apollo Debt Solutions BDC,Apollo Debt Solutions BDC iCapital Offshore Access Fund SP 2
